Cage,Mouse #,Condition,Microniche,GI_Position,CFUpermL,log10_CFUpermL,Sex,Treatment
2,1,BSA_+GM_-O2,Tissue,small_intestine,1.67E+05,5.22,Female,Baseline
2,1,BSA_+GM_-O2,Tissue,cecum,1.04E+06,6.02,Female,Baseline
2,1,BSA_+GM_-O2,Tissue,proximal_colon,2.08E+05,5.32,Female,Baseline
2,1,BSA_+GM_-O2,Tissue,distal_colon,4.17E+04,4.62,Female,Baseline
2,1,BSA_+GM_-O2,luminal_contents,small_intestine,5.21E+06,6.72,Female,Baseline
2,1,BSA_+GM_-O2,luminal_contents,cecum,1.56E+07,7.19,Female,Baseline
2,1,BSA_+GM_-O2,luminal_contents,proximal_colon,2.08E+07,7.32,Female,Baseline
2,1,BSA_+GM_-O2,luminal_contents,distal_colon,4.17E+06,6.62,Female,Baseline
8,1,BSA_+GM_-O2,Tissue,small_intestine,8.33E+04,4.92,Male,Baseline
8,1,BSA_+GM_-O2,Tissue,cecum,5.21E+06,6.72,Male,Baseline
8,1,BSA_+GM_-O2,Tissue,proximal_colon,1.25E+05,5.1,Male,Baseline
8,1,BSA_+GM_-O2,Tissue,distal_colon,1.67E+05,5.22,Male,Baseline
8,1,BSA_+GM_-O2,luminal_contents,small_intestine,1.04E+07,7.02,Male,Baseline
8,1,BSA_+GM_-O2,luminal_contents,cecum,1.56E+07,7.19,Male,Baseline
8,1,BSA_+GM_-O2,luminal_contents,proximal_colon,1.56E+07,7.19,Male,Baseline
8,1,BSA_+GM_-O2,luminal_contents,distal_colon,1.56E+07,7.19,Male,Baseline
4,1,BSA_+GM_-O2,Tissue,small_intestine,0,0,Female,PBS
4,1,BSA_+GM_-O2,Tissue,cecum,5000,3.698970004,Female,PBS
4,1,BSA_+GM_-O2,Tissue,proximal_colon,3333.333333,3.522878745,Female,PBS
4,1,BSA_+GM_-O2,Tissue,distal_colon,1666.666667,3.22184875,Female,PBS
4,1,BSA_+GM_-O2,luminal_contents,small_intestine,2666.666667,3.425968732,Female,PBS
4,1,BSA_+GM_-O2,luminal_contents,cecum,5000,3.698970004,Female,PBS
4,1,BSA_+GM_-O2,luminal_contents,proximal_colon,1666.666667,3.22184875,Female,PBS
4,1,BSA_+GM_-O2,luminal_contents,distal_colon,13333.33333,4.124938737,Female,PBS
6,1,BSA_+GM_-O2,Tissue,small_intestine,208333.3333,5.318758763,Female,Bacteroides
6,1,BSA_+GM_-O2,Tissue,cecum,6250000,6.795880017,Female,Bacteroides
6,1,BSA_+GM_-O2,Tissue,proximal_colon,2083333.333,6.318758763,Female,Bacteroides
6,1,BSA_+GM_-O2,Tissue,distal_colon,2708333.333,6.432702115,Female,Bacteroides
6,1,BSA_+GM_-O2,luminal_contents,small_intestine,208333.3333,5.318758763,Female,Bacteroides
6,1,BSA_+GM_-O2,luminal_contents,cecum,41666666.67,7.619788758,Female,Bacteroides
6,1,BSA_+GM_-O2,luminal_contents,proximal_colon,10416666.67,7.017728767,Female,Bacteroides
6,1,BSA_+GM_-O2,luminal_contents,distal_colon,15625000,7.193820026,Female,Bacteroides
10,1,BSA_+GM_-O2,Tissue,small_intestine,0,0,Male,PBS
10,1,BSA_+GM_-O2,Tissue,cecum,3333.333333,3.522878745,Male,PBS
10,1,BSA_+GM_-O2,Tissue,proximal_colon,1666.666667,3.22184875,Male,PBS
10,1,BSA_+GM_-O2,Tissue,distal_colon,1666.666667,3.22184875,Male,PBS
10,1,BSA_+GM_-O2,luminal_contents,small_intestine,0,0,Male,PBS
10,1,BSA_+GM_-O2,luminal_contents,cecum,100000,5,Male,PBS
10,1,BSA_+GM_-O2,luminal_contents,proximal_colon,13333.33333,4.124938737,Male,PBS
10,1,BSA_+GM_-O2,luminal_contents,distal_colon,16666.66667,4.22184875,Male,PBS
12,1,BSA_+GM_-O2,Tissue,small_intestine,625000,5.795880017,Male,Bacteroides
12,1,BSA_+GM_-O2,Tissue,cecum,8333333.333,6.920818754,Male,Bacteroides
12,1,BSA_+GM_-O2,Tissue,proximal_colon,2291666.667,6.360151448,Male,Bacteroides
12,1,BSA_+GM_-O2,Tissue,distal_colon,833333.3333,5.920818754,Male,Bacteroides
12,1,BSA_+GM_-O2,luminal_contents,small_intestine,2708333.333,6.432702115,Male,Bacteroides
12,1,BSA_+GM_-O2,luminal_contents,cecum,36458333.33,7.561796811,Male,Bacteroides
12,1,BSA_+GM_-O2,luminal_contents,proximal_colon,8333333.333,6.920818754,Male,Bacteroides
12,1,BSA_+GM_-O2,luminal_contents,distal_colon,52083333.33,7.716698771,Male,Bacteroides